episode,time,reward,epsilon,steps,reason
1,47.7417,0.0000,0.0200,3370,fell
2,1.6717,0.0000,0.0200,118,fell
3,1.8417,0.0000,0.0200,130,fell
4,13.2742,0.0000,0.0200,937,fell
5,12.6225,0.0000,0.0200,891,fell
6,11.0500,0.0000,0.0200,780,fell
7,10.7525,0.0000,0.0200,759,fell
8,2.2242,0.0000,0.0200,157,fell
9,1.7142,0.0000,0.0200,121,fell
10,1.5583,0.0000,0.0200,110,fell
11,13.3875,0.0000,0.0200,945,fell
12,13.0900,0.0000,0.0200,924,fell
13,13.0050,0.0000,0.0200,918,fell
14,2.3800,0.0000,0.0200,168,fell
15,2.3092,0.0000,0.0200,163,fell
16,1.7567,0.0000,0.0200,124,fell
17,5.9217,0.0000,0.0200,418,fell
18,23.4883,0.0000,0.0200,1658,fell
19,14.1667,0.0000,0.0200,1000,fell
20,1.8275,0.0000,0.0200,129,fell
21,29.3392,0.0000,0.0200,2071,fell
22,14.7900,0.0000,0.0200,1044,fell
23,2.3092,0.0000,0.0200,163,fell
24,14.8608,0.0000,0.0200,1049,fell
25,20.4283,0.0000,0.0200,1442,fell
26,17.9208,0.0000,0.0200,1265,fell
27,15.8808,0.0000,0.0200,1121,fell
28,15.1583,0.0000,0.0200,1070,fell
29,10.9225,0.0000,0.0200,771,fell
30,11.7583,0.0000,0.0200,830,fell
31,1.6575,0.0000,0.0200,117,fell
32,13.7983,0.0000,0.0200,974,fell
33,1.6717,0.0000,0.0200,118,fell
34,1.6008,0.0000,0.0200,113,fell
35,11.4892,0.0000,0.0200,811,fell
36,13.3167,0.0000,0.0200,940,fell
37,10.6533,0.0000,0.0200,752,fell
38,2.4367,0.0000,0.0200,172,fell
39,41.2817,1733.2125,0.0200,2914,exit
40,15.6117,5.8137,0.0200,1102,fell
41,2.4792,5.8137,0.0200,175,fell
42,1.7567,5.8137,0.0200,124,fell
43,18.6150,5.8137,0.0200,1314,fell
44,15.3283,5.8137,0.0200,1082,fell
45,3.6692,5.8137,0.0200,259,fell
46,10.7383,5.8137,0.0200,758,fell
47,17.9350,1525.3642,0.0200,1266,exit
48,16.0792,13.3817,0.0200,1135,fell
49,1.7850,13.3817,0.0200,126,fell
50,13.7983,13.3817,0.0200,974,fell
51,3.0883,13.3817,0.0200,218,fell
52,13.6283,13.3817,0.0200,962,fell
53,1.7992,13.3817,0.0200,127,fell
54,13.9258,13.3817,0.0200,983,fell
55,3.0883,13.3817,0.0200,218,fell
56,16.4617,13.3817,0.0200,1162,fell
57,14.5917,13.3817,0.0200,1030,fell
58,15.7958,13.3817,0.0200,1115,fell
59,13.5433,13.3817,0.0200,956,fell
60,1.7283,13.3817,0.0200,122,fell
61,11.2058,13.3817,0.0200,791,fell
62,2.7200,13.3817,0.0200,192,fell
63,17.7792,1537.2066,0.0200,1255,exit
64,15.9233,13.4989,0.0200,1124,fell
65,2.6350,13.4989,0.0200,186,fell
66,16.2775,13.4989,0.0200,1149,fell
67,2.6350,13.4989,0.0200,186,fell
68,13.3592,13.4989,0.0200,943,fell
69,2.5075,13.4989,0.0200,177,fell
70,13.6567,13.4989,0.0200,964,fell
71,16.1642,1528.0271,0.0200,1141,exit
72,18.8983,3077.5678,0.0200,1334,exit
73,19.2667,4606.4958,0.0200,1360,exit
74,2.6208,14.8477,0.0200,185,fell
75,18.8417,1570.2927,0.0200,1330,exit
76,14.9458,14.8477,0.0200,1055,fell
77,18.8133,1565.3339,0.0200,1328,exit
78,17.0567,3089.9034,0.0200,1204,exit
79,11.7867,14.8477,0.0200,832,fell
80,2.4367,14.8477,0.0200,172,fell
81,17.2408,1538.0397,0.0200,1217,exit
82,20.0033,3084.0229,0.0200,1412,exit
83,11.3192,14.8477,0.0200,799,fell
84,12.3250,14.8477,0.0200,870,fell
85,2.5075,14.8477,0.0200,177,fell
86,2.3375,14.8477,0.0200,165,fell
87,2.3375,14.8477,0.0200,165,fell
88,17.3400,1534.4643,0.0200,1224,exit
89,2.4225,14.8477,0.0200,171,fell
90,21.5900,14.8477,0.0200,1524,fell
91,2.4225,14.8477,0.0200,171,fell
92,14.3650,14.8477,0.0200,1014,fell
93,2.3517,14.8477,0.0200,166,fell
94,15.6400,14.8477,0.0200,1104,fell
95,13.8125,14.8477,0.0200,975,fell
96,2.3092,14.8477,0.0200,163,fell
97,13.3450,14.8477,0.0200,942,fell
98,2.5642,14.8477,0.0200,181,fell
99,14.7900,14.8477,0.0200,1044,fell
100,2.6350,14.8477,0.0200,186,fell
101,2.8617,14.8477,0.0200,202,fell
102,5.0717,14.8477,0.0200,358,fell
